column,data_type,missing_count,missing_percent
:@computed_region_6mkv_f3dw,str,11,1.8
:@computed_region_vrxf_vc4k,str,11,1.8
:@computed_region_43wa_7qmu,str,11,1.8
:@computed_region_awaf_s7ux,str,11,1.8
:@computed_region_bdys_3d7i,str,11,1.8
location,object,9,1.5
units,str,1,0.2
property_type,str,0,0.0
community_area_number,str,0,0.0
community_area,str,0,0.0
property_name,str,0,0.0
y_coordinate,str,0,0.0
x_coordinate,str,0,0.0
management_company,str,0,0.0
phone_number,str,0,0.0
address,str,0,0.0
zip_code,str,0,0.0
latitude,str,0,0.0
longitude,str,0,0.0
